date,date,open,high,low,close,volume,Log Return,Percentage Return,OBV,ADX,DI_pos,DI_neg,Aroon down,Aroon up,Aroon oscilator,MACD,MACD hist,MACD signal,RSI
2022-07-26 04:00:00,2022-07-26 04:00:00,21147.15,21295.0,20725.92,21076.57,35791568.2541192,0.06997932068292,0.0724860027467844,102284723.68558516,25.476186705754333,13.716992486956485,21.22377127152295,100.0,71.42857142857143,-28.57142857142857,212.69037814797048,-253.97510777254098,466.66548592051146,35.89699151620015
2022-07-25 04:00:00,2022-07-25 04:00:00,21857.54,22241.82,20868.11,21147.15,47067370.555505,0.07332246836091894,0.076077481914119,149352094.24109015,23.51559759585952,18.101395260774638,19.53824147459359,92.85714285714286,64.28571428571428,-28.571428571428584,46.12986408688812,-336.4284974668987,382.5583615537868,36.6250843869106
2022-07-24 04:00:00,2022-07-24 04:00:00,22336.03,23007.75,21787.24,21857.54,22791363.2208115,0.10636326582820897,0.11222583676935827,172143457.46190166,22.124662068882966,20.495792308899272,17.50990371310381,85.71428571428572,57.14285714285714,-28.571428571428584,-28.22267387079046,-328.6248283396618,300.40215446887134,43.57215480661669
2022-07-23 04:00:00,2022-07-23 04:00:00,22806.96,22998.71,21953.41,22336.03,22730135.5893041,0.12801839342378646,0.13657390799035407,194873593.05120575,20.878948936707616,19.180572385132756,16.386288978936733,78.57142857142857,50.0,-28.57142857142857,-47.984318437393085,-278.7091783250115,230.72485988761846,47.72848555339036
2022-07-22 04:00:00,2022-07-22 04:00:00,22917.76,23752.36,22514.5,22806.96,33895298.224164,0.1488830762564894,0.1605372869117605,228768891.27536976,20.660364096781308,21.868813673645626,15.09186823547091,71.42857142857143,42.85714285714286,-28.57142857142857,-25.353193030176044,-204.86244233423562,179.50924930405958,51.51380804514505
2022-07-21 04:00:00,2022-07-21 04:00:00,22773.11,23346.01,22350.0,22917.76,47278958.6569441,0.153729479552955,0.1661753698210926,276047849.93231386,20.202419233511524,20.63437343891664,15.1722512045564,64.28571428571428,35.71428571428571,-28.57142857142857,1.50541739462642,-142.40306552754652,143.90848292217294,52.38743784818048
2022-07-20 04:00:00,2022-07-20 04:00:00,23448.41,24279.8,22666.0,22773.11,66320253.7429773,0.14739777769406623,0.15881482205182462,209727596.18933657,20.761598793599912,23.972417860285137,13.811848901556827,57.14285714285714,28.57142857142857,-28.57142857142857,10.992301147452963,-106.33294541977598,117.32524656722894,51.09313683140486
2022-07-19 04:00:00,2022-07-19 04:00:00,21896.87,23797.34,21588.38,23448.41,69952809.5551095,0.17662001247706863,0.19317761436835923,279680405.74444604,19.740045063114827,21.173826392769065,17.894577854863908,50.0,21.42857142857143,-28.57142857142857,72.16986190938405,-36.124307726275916,108.29416963565997,56.49684496589644
2022-07-18 04:00:00,2022-07-18 04:00:00,21282.72,22999.97,21170.44,21896.87,73697487.8109742,0.10816102795516744,0.1142271526612717,205982917.93347186,18.305075077616475,18.743705147322736,17.946506622690862,42.85714285714286,14.28571428571429,-28.57142857142857,-4.491021959867794,-90.2281532764222,85.73713131655441,44.36748693633256
2022-07-17 04:00:00,2022-07-17 04:00:00,21323.75,21664.0,20753.34,21282.72,18837374.2659292,0.07971279957561091,0.08297599184208093,187145543.66754267,17.129294342619175,17.648677683187373,19.028948066243338,35.71428571428571,7.14285714285714,-28.57142857142857,-113.49381106586588,-159.38475390593624,45.89094284007035,40.647482672880535
2022-07-16 04:00:00,2022-07-16 04:00:00,20738.72,21580.88,20481.1,21323.75,17383682.735811,0.08163879873410969,0.08506381261617735,204529226.40335366,16.361119936517557,16.641721099909073,19.355596943028228,100.0,0.0,-100.0,-194.32843146440064,-192.1754994435768,-2.1529320208238474,41.0033740995735
2022-07-15 04:00:00,2022-07-15 04:00:00,20601.92,21195.1,20488.24,20738.72,28766472.3029667,0.05381980812848316,0.05529442954355446,175762754.10038698,15.660551276294044,15.899533859359058,18.492376306286342,92.85714285714286,0.0,-92.85714285714286,-302.1148898226311,-239.9695662414458,-62.145323581185295,37.54631353155752
